"GEO_ID","NAME","B19013D_001M","B19013D_001MA","B19013D_001E","B19013D_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","**","**","-","-",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","**","**","-","-",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","**","**","-","-",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","**","**","-","-",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","**","**","-","-",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","**","**","-","-",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","**","**","-","-",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","**","**","-","-",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","**","**","-","-",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","**","**","-","-",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","**","**","-","-",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","36035","null","76250","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","**","**","-","-",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","**","**","-","-",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","50799","null","32619","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","**","**","-","-",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","**","**","-","-",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","***","***","2,500-","2,500-",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","5693","null","35488","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","56489","null","26957","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","20913","null","61188","null",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","40310","null","60081","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","116113","null","130561","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","**","**","-","-",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","**","**","-","-",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","***","***","250,000+","250,000+",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","**","**","-","-",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","40740","null","36731","null",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","**","**","-","-",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","80687","null","49375","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","95052","null","104271","null",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","***","***","250,000+","250,000+",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","39635","null","70865","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","76654","null","27132","null",
"1400000US04005000900","Census Tract 9, Coconino County, Arizona","54398","null","21161","null",
"1400000US04005001000","Census Tract 10, Coconino County, Arizona","1143","null","21458","null",
"1400000US04005001101","Census Tract 11.01, Coconino County, Arizona","208769","null","66979","null",
"1400000US04005001102","Census Tract 11.02, Coconino County, Arizona","59079","null","12167","null",
"1400000US04005001200","Census Tract 12, Coconino County, Arizona","209519","null","220083","null",
"1400000US04005001301","Census Tract 13.01, Coconino County, Arizona","**","**","-","-",
"1400000US04005001302","Census Tract 13.02, Coconino County, Arizona","**","**","-","-",
"1400000US04005001500","Census Tract 15, Coconino County, Arizona","**","**","-","-",
"1400000US04005001600","Census Tract 16, Coconino County, Arizona","**","**","-","-",
"1400000US04005001700","Census Tract 17, Coconino County, Arizona","12506","null","30735","null",
"1400000US04005002000","Census Tract 20, Coconino County, Arizona","**","**","-","-",
"1400000US04005002100","Census Tract 21, Coconino County, Arizona","**","**","-","-",
"1400000US04005002200","Census Tract 22, Coconino County, Arizona","**","**","-","-",
"1400000US04005002300","Census Tract 23, Coconino County, Arizona","**","**","-","-",
"1400000US04005942201","Census Tract 9422.01, Coconino County, Arizona","**","**","-","-",
"1400000US04005942202","Census Tract 9422.02, Coconino County, Arizona","**","**","-","-",
"1400000US04005944900","Census Tract 9449, Coconino County, Arizona","**","**","-","-",
"1400000US04005945000","Census Tract 9450, Coconino County, Arizona","18450","null","55625","null",
"1400000US04005945100","Census Tract 9451, Coconino County, Arizona","**","**","-","-",
"1400000US04005945200","Census Tract 9452, Coconino County, Arizona","**","**","-","-",
"1400000US04007000100","Census Tract 1, Gila County, Arizona","**","**","-","-",
"1400000US04007000200","Census Tract 2, Gila County, Arizona","**","**","-","-",
"1400000US04007000301","Census Tract 3.01, Gila County, Arizona","**","**","-","-",
"1400000US04007000302","Census Tract 3.02, Gila County, Arizona","**","**","-","-",
"1400000US04007000400","Census Tract 4, Gila County, Arizona","**","**","-","-",
"1400000US04007000500","Census Tract 5, Gila County, Arizona","**","**","-","-",
"1400000US04007000600","Census Tract 6, Gila County, Arizona","**","**","-","-",
"1400000US04007000700","Census Tract 7, Gila County, Arizona","**","**","-","-",
"1400000US04007000800","Census Tract 8, Gila County, Arizona","**","**","-","-",
"1400000US04007000900","Census Tract 9, Gila County, Arizona","**","**","-","-",
"1400000US04007001000","Census Tract 10, Gila County, Arizona","**","**","-","-",
"1400000US04007001100","Census Tract 11, Gila County, Arizona","**","**","-","-",
"1400000US04007001200","Census Tract 12, Gila County, Arizona","**","**","-","-",
"1400000US04007001300","Census Tract 13, Gila County, Arizona","**","**","-","-",
"1400000US04007940200","Census Tract 9402, Gila County, Arizona","**","**","-","-",
"1400000US04007940400","Census Tract 9404, Gila County, Arizona","**","**","-","-",
"1400000US04009940500","Census Tract 9405, Graham County, Arizona","**","**","-","-",
"1400000US04009961100","Census Tract 9611, Graham County, Arizona","14452","null","79000","null",
"1400000US04009961201","Census Tract 9612.01, Graham County, Arizona","**","**","-","-",
"1400000US04009961202","Census Tract 9612.02, Graham County, Arizona","**","**","-","-",
"1400000US04009961300","Census Tract 9613, Graham County, Arizona","**","**","-","-",
"1400000US04009961400","Census Tract 9614, Graham County, Arizona","**","**","-","-",
"1400000US04009961500","Census Tract 9615, Graham County, Arizona","171421","null","34667","null",
"1400000US04009961600","Census Tract 9616, Graham County, Arizona","**","**","-","-",
"1400000US04009961700","Census Tract 9617, Graham County, Arizona","**","**","-","-",
"1400000US04011960100","Census Tract 9601, Greenlee County, Arizona","**","**","-","-",
"1400000US04011960200","Census Tract 9602, Greenlee County, Arizona","**","**","-","-",
"1400000US04011960300","Census Tract 9603, Greenlee County, Arizona","**","**","-","-",
"1400000US04012020100","Census Tract 201, La Paz County, Arizona","**","**","-","-",
"1400000US04012020201","Census Tract 202.01, La Paz County, Arizona","**","**","-","-",
"1400000US04012020202","Census Tract 202.02, La Paz County, Arizona","**","**","-","-",
"1400000US04012020501","Census Tract 205.01, La Paz County, Arizona","**","**","-","-",
"1400000US04012020502","Census Tract 205.02, La Paz County, Arizona","***","***","250,000+","250,000+",
"1400000US04012020602","Census Tract 206.02, La Paz County, Arizona","**","**","-","-",
"1400000US04012940200","Census Tract 9402, La Paz County, Arizona","244565","null","115000","null",
"1400000US04012940300","Census Tract 9403, La Paz County, Arizona","73716","null","3611","null",
"1400000US04012980000","Census Tract 9800, La Paz County, Arizona","**","**","-","-",
"1400000US04013010101","Census Tract 101.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013010102","Census Tract 101.02, Maricopa County, Arizona","102062","null","248750","null",
"1400000US04013030401","Census Tract 304.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013030402","Census Tract 304.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040502","Census Tract 405.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040506","Census Tract 405.06, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040507","Census Tract 405.07, Maricopa County, Arizona","128896","null","67411","null",
"1400000US04013040512","Census Tract 405.12, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040513","Census Tract 405.13, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040514","Census Tract 405.14, Maricopa County, Arizona","100372","null","37000","null",
"1400000US04013040515","Census Tract 405.15, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040516","Census Tract 405.16, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040517","Census Tract 405.17, Maricopa County, Arizona","4112","null","64107","null",
"1400000US04013040518","Census Tract 405.18, Maricopa County, Arizona","35321","null","96250","null",
"1400000US04013040519","Census Tract 405.19, Maricopa County, Arizona","190772","null","150114","null",
"1400000US04013040520","Census Tract 405.20, Maricopa County, Arizona","52235","null","143375","null",
"1400000US04013040521","Census Tract 405.21, Maricopa County, Arizona","45465","null","86176","null",
"1400000US04013040522","Census Tract 405.22, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040523","Census Tract 405.23, Maricopa County, Arizona","107456","null","53750","null",
"1400000US04013040524","Census Tract 405.24, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040525","Census Tract 405.25, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040526","Census Tract 405.26, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040527","Census Tract 405.27, Maricopa County, Arizona","109189","null","58125","null",
"1400000US04013040528","Census Tract 405.28, Maricopa County, Arizona","30021","null","56250","null",
"1400000US04013040529","Census Tract 405.29, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040530","Census Tract 405.30, Maricopa County, Arizona","**","**","-","-",
"1400000US04013040531","Census Tract 405.31, Maricopa County, Arizona","**","**","-","-",
"1400000US04013050603","Census Tract 506.03, Maricopa County, Arizona","**","**","-","-",
"1400000US04013050604","Census Tract 506.04, Maricopa County, Arizona","**","**","-","-",
"1400000US04013050605","Census Tract 506.05, Maricopa County, Arizona","109258","null","140500","null",
"1400000US04013050606","Census Tract 506.06, Maricopa County, Arizona","20344","null","36801","null",
"1400000US04013050607","Census Tract 506.07, Maricopa County, Arizona","20527","null","40278","null",
"1400000US04013050608","Census Tract 506.08, Maricopa County, Arizona","76978","null","17237","null",
"1400000US04013050609","Census Tract 506.09, Maricopa County, Arizona","88259","null","70573","null",
"1400000US04013050610","Census Tract 506.10, Maricopa County, Arizona","80401","null","29516","null",
"1400000US04013050611","Census Tract 506.11, Maricopa County, Arizona","**","**","-","-",
"1400000US04013050701","Census Tract 507.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013050702","Census Tract 507.02, Maricopa County, Arizona","31863","null","24803","null",
"1400000US04013060801","Census Tract 608.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013060802","Census Tract 608.02, Maricopa County, Arizona","11241","null","57955","null",
"1400000US04013060901","Census Tract 609.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013060902","Census Tract 609.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013060903","Census Tract 609.03, Maricopa County, Arizona","**","**","-","-",
"1400000US04013060904","Census Tract 609.04, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061009","Census Tract 610.09, Maricopa County, Arizona","82566","null","41833","null",
"1400000US04013061010","Census Tract 610.10, Maricopa County, Arizona","192104","null","132692","null",
"1400000US04013061011","Census Tract 610.11, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061012","Census Tract 610.12, Maricopa County, Arizona","43634","null","74048","null",
"1400000US04013061013","Census Tract 610.13, Maricopa County, Arizona","12355","null","72989","null",
"1400000US04013061014","Census Tract 610.14, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061015","Census Tract 610.15, Maricopa County, Arizona","111091","null","59750","null",
"1400000US04013061016","Census Tract 610.16, Maricopa County, Arizona","13905","null","25592","null",
"1400000US04013061017","Census Tract 610.17, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061018","Census Tract 610.18, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061019","Census Tract 610.19, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061020","Census Tract 610.20, Maricopa County, Arizona","12963","null","25891","null",
"1400000US04013061021","Census Tract 610.21, Maricopa County, Arizona","54481","null","144141","null",
"1400000US04013061022","Census Tract 610.22, Maricopa County, Arizona","24151","null","39063","null",
"1400000US04013061023","Census Tract 610.23, Maricopa County, Arizona","15084","null","72679","null",
"1400000US04013061024","Census Tract 610.24, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061025","Census Tract 610.25, Maricopa County, Arizona","23862","null","84348","null",
"1400000US04013061026","Census Tract 610.26, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061027","Census Tract 610.27, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061028","Census Tract 610.28, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061029","Census Tract 610.29, Maricopa County, Arizona","85556","null","46544","null",
"1400000US04013061030","Census Tract 610.30, Maricopa County, Arizona","143924","null","64250","null",
"1400000US04013061031","Census Tract 610.31, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061032","Census Tract 610.32, Maricopa County, Arizona","59641","null","50893","null",
"1400000US04013061033","Census Tract 610.33, Maricopa County, Arizona","63794","null","27500","null",
"1400000US04013061034","Census Tract 610.34, Maricopa County, Arizona","70662","null","90500","null",
"1400000US04013061035","Census Tract 610.35, Maricopa County, Arizona","25070","null","58929","null",
"1400000US04013061036","Census Tract 610.36, Maricopa County, Arizona","74406","null","45682","null",
"1400000US04013061037","Census Tract 610.37, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061038","Census Tract 610.38, Maricopa County, Arizona","106539","null","90781","null",
"1400000US04013061039","Census Tract 610.39, Maricopa County, Arizona","1969","null","49189","null",
"1400000US04013061040","Census Tract 610.40, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061041","Census Tract 610.41, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061042","Census Tract 610.42, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061043","Census Tract 610.43, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061044","Census Tract 610.44, Maricopa County, Arizona","109034","null","88958","null",
"1400000US04013061045","Census Tract 610.45, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061046","Census Tract 610.46, Maricopa County, Arizona","22683","null","22644","null",
"1400000US04013061047","Census Tract 610.47, Maricopa County, Arizona","187299","null","212661","null",
"1400000US04013061100","Census Tract 611, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061200","Census Tract 612, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061300","Census Tract 613, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061401","Census Tract 614.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013061402","Census Tract 614.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071503","Census Tract 715.03, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071504","Census Tract 715.04, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071505","Census Tract 715.05, Maricopa County, Arizona","35817","null","23938","null",
"1400000US04013071506","Census Tract 715.06, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071509","Census Tract 715.09, Maricopa County, Arizona","30077","null","69271","null",
"1400000US04013071510","Census Tract 715.10, Maricopa County, Arizona","10242","null","98977","null",
"1400000US04013071511","Census Tract 715.11, Maricopa County, Arizona","51593","null","20521","null",
"1400000US04013071512","Census Tract 715.12, Maricopa County, Arizona","2266","null","41824","null",
"1400000US04013071513","Census Tract 715.13, Maricopa County, Arizona","75508","null","211098","null",
"1400000US04013071514","Census Tract 715.14, Maricopa County, Arizona","117780","null","210112","null",
"1400000US04013071515","Census Tract 715.15, Maricopa County, Arizona","86558","null","89881","null",
"1400000US04013071516","Census Tract 715.16, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071517","Census Tract 715.17, Maricopa County, Arizona","310640","null","185074","null",
"1400000US04013071600","Census Tract 716, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071701","Census Tract 717.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071702","Census Tract 717.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071801","Census Tract 718.01, Maricopa County, Arizona","12443","null","25673","null",
"1400000US04013071802","Census Tract 718.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071903","Census Tract 719.03, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071906","Census Tract 719.06, Maricopa County, Arizona","35576","null","106989","null",
"1400000US04013071909","Census Tract 719.09, Maricopa County, Arizona","18405","null","14091","null",
"1400000US04013071910","Census Tract 719.10, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071911","Census Tract 719.11, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071912","Census Tract 719.12, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071913","Census Tract 719.13, Maricopa County, Arizona","44232","null","83125","null",
"1400000US04013071914","Census Tract 719.14, Maricopa County, Arizona","**","**","-","-",
"1400000US04013071915","Census Tract 719.15, Maricopa County, Arizona","629","null","83609","null",
"1400000US04013082002","Census Tract 820.02, Maricopa County, Arizona","77365","null","22337","null",
"1400000US04013082007","Census Tract 820.07, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082008","Census Tract 820.08, Maricopa County, Arizona","34629","null","82019","null",
"1400000US04013082009","Census Tract 820.09, Maricopa County, Arizona","2043","null","52386","null",
"1400000US04013082010","Census Tract 820.10, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082012","Census Tract 820.12, Maricopa County, Arizona","44437","null","36000","null",
"1400000US04013082016","Census Tract 820.16, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082017","Census Tract 820.17, Maricopa County, Arizona","134856","null","83068","null",
"1400000US04013082018","Census Tract 820.18, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082019","Census Tract 820.19, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082020","Census Tract 820.20, Maricopa County, Arizona","165058","null","34659","null",
"1400000US04013082021","Census Tract 820.21, Maricopa County, Arizona","20163","null","53188","null",
"1400000US04013082022","Census Tract 820.22, Maricopa County, Arizona","73427","null","61682","null",
"1400000US04013082023","Census Tract 820.23, Maricopa County, Arizona","9349","null","86094","null",
"1400000US04013082024","Census Tract 820.24, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082025","Census Tract 820.25, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082026","Census Tract 820.26, Maricopa County, Arizona","65764","null","69352","null",
"1400000US04013082027","Census Tract 820.27, Maricopa County, Arizona","58081","null","109643","null",
"1400000US04013082028","Census Tract 820.28, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082203","Census Tract 822.03, Maricopa County, Arizona","120435","null","57250","null",
"1400000US04013082204","Census Tract 822.04, Maricopa County, Arizona","83116","null","75969","null",
"1400000US04013082205","Census Tract 822.05, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082206","Census Tract 822.06, Maricopa County, Arizona","9948","null","34135","null",
"1400000US04013082207","Census Tract 822.07, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082208","Census Tract 822.08, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082209","Census Tract 822.09, Maricopa County, Arizona","**","**","-","-",
"1400000US04013082210","Census Tract 822.10, Maricopa County, Arizona","70126","null","103942","null",
"1400000US04013082211","Census Tract 822.11, Maricopa County, Arizona","128341","null","31944","null",
"1400000US04013083000","Census Tract 830, Maricopa County, Arizona","45978","null","45781","null",
"1400000US04013092305","Census Tract 923.05, Maricopa County, Arizona","26130","null","54844","null",
"1400000US04013092306","Census Tract 923.06, Maricopa County, Arizona","8128","null","34286","null",
"1400000US04013092307","Census Tract 923.07, Maricopa County, Arizona","6443","null","53529","null",
"1400000US04013092308","Census Tract 923.08, Maricopa County, Arizona","1232","null","26220","null",
"1400000US04013092309","Census Tract 923.09, Maricopa County, Arizona","146080","null","37096","null",
"1400000US04013092311","Census Tract 923.11, Maricopa County, Arizona","***","***","2,500-","2,500-",
"1400000US04013092312","Census Tract 923.12, Maricopa County, Arizona","39671","null","42604","null",
"1400000US04013092401","Census Tract 924.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092402","Census Tract 924.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092500","Census Tract 925, Maricopa County, Arizona","3298","null","43326","null",
"1400000US04013092600","Census Tract 926, Maricopa County, Arizona","18173","null","50000","null",
"1400000US04013092705","Census Tract 927.05, Maricopa County, Arizona","71497","null","91176","null",
"1400000US04013092708","Census Tract 927.08, Maricopa County, Arizona","114542","null","90521","null",
"1400000US04013092709","Census Tract 927.09, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092710","Census Tract 927.10, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092711","Census Tract 927.11, Maricopa County, Arizona","49735","null","29773","null",
"1400000US04013092712","Census Tract 927.12, Maricopa County, Arizona","23750","null","70385","null",
"1400000US04013092713","Census Tract 927.13, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092715","Census Tract 927.15, Maricopa County, Arizona","46701","null","22181","null",
"1400000US04013092716","Census Tract 927.16, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092717","Census Tract 927.17, Maricopa County, Arizona","29475","null","47045","null",
"1400000US04013092718","Census Tract 927.18, Maricopa County, Arizona","276073","null","47115","null",
"1400000US04013092719","Census Tract 927.19, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092720","Census Tract 927.20, Maricopa County, Arizona","***","***","2,500-","2,500-",
"1400000US04013092721","Census Tract 927.21, Maricopa County, Arizona","24650","null","70313","null",
"1400000US04013092723","Census Tract 927.23, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092724","Census Tract 927.24, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092801","Census Tract 928.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092802","Census Tract 928.02, Maricopa County, Arizona","**","**","-","-",
"1400000US04013092900","Census Tract 929, Maricopa County, Arizona","**","**","-","-",
"1400000US04013093001","Census Tract 930.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013093002","Census Tract 930.02, Maricopa County, Arizona","631","null","43832","null",
"1400000US04013093101","Census Tract 931.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013093104","Census Tract 931.04, Maricopa County, Arizona","**","**","-","-",
"1400000US04013093105","Census Tract 931.05, Maricopa County, Arizona","**","**","-","-",
"1400000US04013093106","Census Tract 931.06, Maricopa County, Arizona","90687","null","61250","null",
"1400000US04013093200","Census Tract 932, Maricopa County, Arizona","102374","null","61250","null",
"1400000US04013103205","Census Tract 1032.05, Maricopa County, Arizona","279180","null","198021","null",
"1400000US04013103206","Census Tract 1032.06, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103207","Census Tract 1032.07, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103208","Census Tract 1032.08, Maricopa County, Arizona","117347","null","18472","null",
"1400000US04013103209","Census Tract 1032.09, Maricopa County, Arizona","103922","null","45917","null",
"1400000US04013103210","Census Tract 1032.10, Maricopa County, Arizona","40944","null","87273","null",
"1400000US04013103211","Census Tract 1032.11, Maricopa County, Arizona","77503","null","120179","null",
"1400000US04013103212","Census Tract 1032.12, Maricopa County, Arizona","41271","null","101667","null",
"1400000US04013103214","Census Tract 1032.14, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103215","Census Tract 1032.15, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103216","Census Tract 1032.16, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103217","Census Tract 1032.17, Maricopa County, Arizona","12323","null","66458","null",
"1400000US04013103219","Census Tract 1032.19, Maricopa County, Arizona","233683","null","59500","null",
"1400000US04013103220","Census Tract 1032.20, Maricopa County, Arizona","135520","null","128083","null",
"1400000US04013103302","Census Tract 1033.02, Maricopa County, Arizona","61219","null","45395","null",
"1400000US04013103303","Census Tract 1033.03, Maricopa County, Arizona","81931","null","96667","null",
"1400000US04013103304","Census Tract 1033.04, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103305","Census Tract 1033.05, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103306","Census Tract 1033.06, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103400","Census Tract 1034, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103501","Census Tract 1035.01, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103502","Census Tract 1035.02, Maricopa County, Arizona","34761","null","11778","null",
"1400000US04013103604","Census Tract 1036.04, Maricopa County, Arizona","153149","null","69375","null",
"1400000US04013103605","Census Tract 1036.05, Maricopa County, Arizona","137898","null","91250","null",
"1400000US04013103606","Census Tract 1036.06, Maricopa County, Arizona","131196","null","92614","null",
"1400000US04013103607","Census Tract 1036.07, Maricopa County, Arizona","15953","null","70855","null",
"1400000US04013103608","Census Tract 1036.08, Maricopa County, Arizona","97268","null","61875","null",
"1400000US04013103609","Census Tract 1036.09, Maricopa County, Arizona","14570","null","37583","null",
"1400000US04013103611","Census Tract 1036.11, Maricopa County, Arizona","170462","null","141750","null",
"1400000US04013103612","Census Tract 1036.12, Maricopa County, Arizona","77353","null","82321","null",
"1400000US04013103614","Census Tract 1036.14, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103615","Census Tract 1036.15, Maricopa County, Arizona","**","**","-","-",
"1400000US04013103701","Census Tract 1037.01, Maricopa County, Arizona","159108","null","106625","null",
"1400000US04013103702","Census Tract 1037.02, Maricopa County, Arizona","**","**","-","-",
