"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_001MA","B19001H_001EA","B19001H_002E","B19001H_002EA","B19001H_002M","B19001H_002MA","B19001H_003E","B19001H_003M","B19001H_003MA","B19001H_003EA","B19001H_004E","B19001H_004EA","B19001H_004M","B19001H_004MA","B19001H_005E","B19001H_005EA","B19001H_005M","B19001H_005MA","B19001H_006E","B19001H_006M","B19001H_006MA","B19001H_006EA","B19001H_007E","B19001H_007EA","B19001H_007M","B19001H_007MA","B19001H_008E","B19001H_008M","B19001H_008MA","B19001H_008EA","B19001H_009E","B19001H_009M","B19001H_009MA","B19001H_009EA","B19001H_010E","B19001H_010M","B19001H_010MA","B19001H_010EA","B19001H_011E","B19001H_011EA","B19001H_011M","B19001H_011MA","B19001H_012E","B19001H_012M","B19001H_012MA","B19001H_012EA","B19001H_013E","B19001H_013M","B19001H_013MA","B19001H_013EA","B19001H_014E","B19001H_014EA","B19001H_014M","B19001H_014MA","B19001H_015E","B19001H_015EA","B19001H_015M","B19001H_015MA","B19001H_016E","B19001H_016EA","B19001H_016M","B19001H_016MA","B19001H_017E","B19001H_017EA","B19001H_017M","B19001H_017MA",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","1233","204","null","null","60","null","43","null","28","30","null","null","126","null","110","null","8","null","14","null","26","22","null","null","71","null","61","null","44","47","null","null","43","37","null","null","76","60","null","null","109","null","64","null","168","87","null","null","282","109","null","null","64","null","35","null","74","null","46","null","47","null","35","null","7","null","10","null",
"1400000US04003000101","Census Tract 1.01, Cochise County, Arizona","245","60","null","null","18","null","13","null","20","17","null","null","29","null","32","null","22","null","14","null","10","11","null","null","8","null","11","null","27","19","null","null","22","14","null","null","2","3","null","null","17","null","16","null","23","16","null","null","23","17","null","null","8","null","7","null","6","null","6","null","8","null","6","null","2","null","3","null",
"1400000US04003000102","Census Tract 1.02, Cochise County, Arizona","323","53","null","null","23","null","13","null","36","24","null","null","40","null","22","null","25","null","18","null","17","11","null","null","11","null","10","null","7","7","null","null","24","15","null","null","14","10","null","null","17","null","11","null","38","19","null","null","25","12","null","null","16","null","14","null","1","null","3","null","29","null","35","null","0","null","13","null",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","767","148","null","null","11","null","14","null","23","18","null","null","27","null","27","null","21","null","25","null","16","17","null","null","47","null","39","null","29","22","null","null","58","49","null","null","62","57","null","null","114","null","51","null","143","84","null","null","94","56","null","null","8","null","15","null","45","null","41","null","69","null","74","null","0","null","13","null",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","614","190","null","null","33","null","35","null","73","59","null","null","38","null","28","null","52","null","54","null","48","37","null","null","25","null","24","null","89","68","null","null","19","24","null","null","45","41","null","null","55","null","60","null","32","28","null","null","68","51","null","null","9","null","14","null","0","null","13","null","28","null","29","null","0","null","13","null",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","1132","249","null","null","261","null","244","null","37","19","null","null","42","null","30","null","72","null","40","null","24","17","null","null","40","null","23","null","53","37","null","null","36","30","null","null","46","40","null","null","132","null","55","null","111","49","null","null","124","62","null","null","50","null","36","null","45","null","25","null","38","null","38","null","21","null","27","null",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","1307","146","null","null","74","null","56","null","56","33","null","null","209","null","104","null","185","null","82","null","135","80","null","null","112","null","80","null","53","38","null","null","9","14","null","null","35","38","null","null","61","null","48","null","119","72","null","null","141","100","null","null","25","null","26","null","59","null","55","null","34","null","48","null","0","null","13","null",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","1226","169","null","null","32","null","26","null","41","31","null","null","109","null","63","null","41","null","35","null","112","77","null","null","127","null","87","null","66","49","null","null","52","39","null","null","33","25","null","null","97","null","69","null","190","89","null","null","183","75","null","null","64","null","47","null","0","null","13","null","34","null","34","null","45","null","36","null",
"1400000US04003000304","Census Tract 3.04, Cochise County, Arizona","759","130","null","null","21","null","38","null","47","42","null","null","70","null","75","null","39","null","46","null","0","13","null","null","11","null","19","null","15","27","null","null","16","28","null","null","42","40","null","null","57","null","55","null","110","64","null","null","54","50","null","null","130","null","114","null","93","null","77","null","10","null","16","null","44","null","47","null",
"1400000US04003000305","Census Tract 3.05, Cochise County, Arizona","917","208","null","null","102","null","110","null","131","117","null","null","11","null","20","null","2","null","5","null","22","30","null","null","4","null","6","null","55","47","null","null","33","38","null","null","87","92","null","null","50","null","43","null","193","152","null","null","41","40","null","null","0","null","13","null","80","null","82","null","40","null","41","null","66","null","59","null",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","820","122","null","null","54","null","32","null","42","24","null","null","52","null","31","null","96","null","49","null","62","36","null","null","28","null","12","null","49","30","null","null","31","30","null","null","54","35","null","null","106","null","65","null","28","20","null","null","63","37","null","null","86","null","75","null","18","null","21","null","19","null","17","null","32","null","41","null",
"1400000US04003000501","Census Tract 5.01, Cochise County, Arizona","705","105","null","null","37","null","17","null","74","31","null","null","44","null","28","null","52","null","24","null","19","13","null","null","91","null","84","null","36","25","null","null","31","18","null","null","56","29","null","null","50","null","19","null","40","26","null","null","42","16","null","null","71","null","43","null","19","null","17","null","21","null","9","null","22","null","21","null",
"1400000US04003000502","Census Tract 5.02, Cochise County, Arizona","420","71","null","null","66","null","46","null","33","26","null","null","57","null","42","null","26","null","17","null","16","14","null","null","19","null","21","null","15","15","null","null","30","31","null","null","4","5","null","null","22","null","19","null","33","22","null","null","39","21","null","null","23","null","25","null","18","null","15","null","17","null","10","null","2","null","3","null",
"1400000US04003000503","Census Tract 5.03, Cochise County, Arizona","29","20","null","null","2","null","3","null","5","7","null","null","2","null","4","null","2","null","3","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","6","11","null","null","0","13","null","null","0","null","13","null","0","null","13","null","12","null","13","null","0","null","13","null",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","190","80","null","null","27","null","38","null","27","36","null","null","0","null","13","null","21","null","26","null","27","32","null","null","0","null","13","null","0","13","null","null","19","23","null","null","0","13","null","null","0","null","13","null","44","47","null","null","20","19","null","null","0","null","13","null","5","null","9","null","0","null","13","null","0","null","13","null",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","183","76","null","null","6","null","11","null","25","27","null","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","8","11","null","null","22","37","null","null","20","29","null","null","10","null","15","null","0","19","null","null","39","30","null","null","12","null","15","null","25","null","24","null","16","null","18","null","0","null","19","null",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","242","83","null","null","34","null","34","null","10","15","null","null","4","null","7","null","29","null","45","null","10","15","null","null","4","null","8","null","0","13","null","null","8","13","null","null","6","9","null","null","25","null","34","null","34","33","null","null","20","22","null","null","45","null","49","null","0","null","13","null","0","null","13","null","13","null","20","null",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","13","14","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","5","9","null","null","0","13","null","null","0","13","null","null","2","null","5","null","0","13","null","null","6","10","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","65","38","null","null","15","null","24","null","11","17","null","null","0","null","13","null","0","null","13","null","5","8","null","null","8","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","13","null","null","7","12","null","null","13","null","20","null","0","null","13","null","0","null","13","null","6","null","9","null",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","856","209","null","null","50","null","35","null","49","39","null","null","23","null","25","null","99","null","68","null","28","28","null","null","45","null","42","null","139","133","null","null","33","28","null","null","25","28","null","null","58","null","55","null","147","136","null","null","14","16","null","null","36","null","32","null","32","null","27","null","78","null","54","null","0","null","13","null",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","815","133","null","null","97","null","65","null","81","42","null","null","34","null","29","null","47","null","37","null","136","74","null","null","27","null","25","null","47","38","null","null","64","53","null","null","6","10","null","null","88","null","52","null","42","36","null","null","64","49","null","null","74","null","47","null","8","null","14","null","0","null","13","null","0","null","13","null",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","1030","178","null","null","85","null","49","null","40","34","null","null","57","null","52","null","138","null","108","null","34","38","null","null","11","null","13","null","74","48","null","null","57","43","null","null","22","25","null","null","85","null","66","null","143","74","null","null","135","69","null","null","63","null","50","null","0","null","13","null","53","null","54","null","33","null","30","null",
"1400000US04003001301","Census Tract 13.01, Cochise County, Arizona","854","160","null","null","40","null","47","null","85","93","null","null","25","null","29","null","120","null","102","null","34","40","null","null","34","null","41","null","28","33","null","null","35","51","null","null","72","74","null","null","56","null","69","null","78","57","null","null","95","56","null","null","24","null","36","null","70","null","65","null","26","null","44","null","32","null","47","null",
"1400000US04003001302","Census Tract 13.02, Cochise County, Arizona","1078","162","null","null","44","null","23","null","109","77","null","null","93","null","84","null","109","null","60","null","29","19","null","null","15","null","14","null","112","70","null","null","41","25","null","null","14","13","null","null","182","null","100","null","51","25","null","null","169","85","null","null","15","null","12","null","9","null","16","null","31","null","22","null","55","null","64","null",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","222","83","null","null","0","null","13","null","0","13","null","null","0","null","13","null","9","null","14","null","21","21","null","null","0","null","13","null","18","19","null","null","9","15","null","null","0","13","null","null","54","null","54","null","58","35","null","null","30","31","null","null","14","null","20","null","9","null","16","null","0","null","13","null","0","null","13","null",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","242","111","null","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","0","13","null","null","0","13","null","null","0","13","null","null","21","null","20","null","28","20","null","null","163","111","null","null","16","null","13","null","5","null","8","null","9","null","16","null","0","null","13","null",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","691","151","null","null","7","null","13","null","77","68","null","null","84","null","60","null","39","null","37","null","46","41","null","null","19","null","20","null","75","58","null","null","29","25","null","null","27","32","null","null","0","null","13","null","84","63","null","null","82","47","null","null","56","null","43","null","26","null","29","null","29","null","25","null","11","null","18","null",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","906","200","null","null","199","null","124","null","120","78","null","null","77","null","66","null","27","null","26","null","57","43","null","null","38","null","36","null","55","58","null","null","67","40","null","null","27","24","null","null","0","null","13","null","9","14","null","null","84","57","null","null","71","null","67","null","12","null","17","null","56","null","46","null","7","null","12","null",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","1245","212","null","null","50","null","48","null","64","72","null","null","34","null","54","null","116","null","74","null","86","61","null","null","90","null","97","null","32","39","null","null","75","68","null","null","70","51","null","null","165","null","128","null","45","53","null","null","166","103","null","null","41","null","47","null","49","null","39","null","56","null","46","null","106","null","94","null",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","943","196","null","null","58","null","60","null","56","52","null","null","71","null","37","null","65","null","56","null","70","81","null","null","33","null","31","null","55","50","null","null","69","60","null","null","84","112","null","null","79","null","56","null","92","69","null","null","97","90","null","null","45","null","35","null","11","null","16","null","44","null","43","null","14","null","18","null",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","1319","266","null","null","24","null","29","null","73","61","null","null","45","null","54","null","33","null","38","null","126","120","null","null","60","null","53","null","78","58","null","null","0","13","null","null","55","48","null","null","143","null","70","null","170","109","null","null","256","177","null","null","165","null","104","null","75","null","81","null","16","null","22","null","0","null","13","null",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","1148","251","null","null","38","null","30","null","104","82","null","null","182","null","205","null","29","null","32","null","11","19","null","null","67","null","55","null","152","126","null","null","14","19","null","null","58","52","null","null","94","null","51","null","145","56","null","null","103","58","null","null","62","null","42","null","36","null","31","null","16","null","20","null","37","null","34","null",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","1437","229","null","null","24","null","30","null","85","80","null","null","147","null","135","null","0","null","13","null","12","21","null","null","59","null","57","null","36","48","null","null","48","39","null","null","120","99","null","null","126","null","79","null","147","73","null","null","213","116","null","null","137","null","96","null","160","null","93","null","69","null","52","null","54","null","51","null",
"1400000US04003001801","Census Tract 18.01, Cochise County, Arizona","1908","268","null","null","45","null","39","null","13","20","null","null","56","null","59","null","30","null","34","null","29","34","null","null","42","null","37","null","94","57","null","null","72","52","null","null","120","70","null","null","203","null","175","null","154","69","null","null","323","117","null","null","284","null","126","null","188","null","98","null","101","null","63","null","154","null","83","null",
"1400000US04003001802","Census Tract 18.02, Cochise County, Arizona","995","228","null","null","30","null","39","null","0","13","null","null","0","null","13","null","23","null","26","null","135","179","null","null","11","null","19","null","41","46","null","null","15","24","null","null","75","60","null","null","91","null","63","null","53","50","null","null","173","103","null","null","125","null","80","null","69","null","57","null","89","null","71","null","65","null","56","null",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","1896","183","null","null","23","null","28","null","0","19","null","null","52","null","66","null","26","null","30","null","31","49","null","null","30","null","41","null","85","74","null","null","28","32","null","null","65","41","null","null","68","null","64","null","208","108","null","null","367","127","null","null","333","null","104","null","242","null","116","null","166","null","87","null","172","null","112","null",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","1787","297","null","null","245","null","236","null","29","32","null","null","32","null","36","null","95","null","96","null","22","36","null","null","41","null","48","null","71","58","null","null","116","77","null","null","86","61","null","null","206","null","120","null","340","187","null","null","234","126","null","null","25","null","32","null","144","null","72","null","62","null","53","null","39","null","42","null",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","1450","203","null","null","59","null","50","null","112","84","null","null","8","null","14","null","31","null","24","null","42","31","null","null","88","null","64","null","109","89","null","null","81","66","null","null","119","77","null","null","65","null","48","null","115","61","null","null","164","79","null","null","228","null","159","null","98","null","64","null","53","null","35","null","78","null","43","null",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","1578","279","null","null","0","null","13","null","56","54","null","null","0","null","13","null","160","null","126","null","24","38","null","null","17","null","27","null","0","13","null","null","24","37","null","null","33","38","null","null","103","null","52","null","261","170","null","null","297","163","null","null","101","null","67","null","128","null","79","null","268","null","157","null","106","null","71","null",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","1228","129","null","null","41","null","38","null","45","25","null","null","5","null","12","null","7","null","11","null","10","15","null","null","0","null","13","null","118","100","null","null","27","26","null","null","13","20","null","null","71","null","38","null","53","31","null","null","143","59","null","null","266","null","78","null","93","null","50","null","154","null","77","null","182","null","66","null",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","1347","180","null","null","27","null","27","null","100","88","null","null","18","null","20","null","89","null","62","null","74","47","null","null","26","null","29","null","46","32","null","null","25","23","null","null","9","14","null","null","108","null","61","null","88","42","null","null","129","57","null","null","145","null","80","null","113","null","49","null","186","null","102","null","164","null","79","null",
"1400000US04005000301","Census Tract 3.01, Coconino County, Arizona","670","175","null","null","0","null","13","null","54","66","null","null","16","null","24","null","11","null","18","null","7","11","null","null","14","null","22","null","66","95","null","null","0","13","null","null","24","29","null","null","65","null","103","null","44","42","null","null","203","116","null","null","72","null","52","null","27","null","33","null","53","null","56","null","14","null","22","null",
"1400000US04005000302","Census Tract 3.02, Coconino County, Arizona","215","123","null","null","14","null","23","null","0","13","null","null","55","null","73","null","30","null","39","null","13","24","null","null","14","null","27","null","0","13","null","null","33","56","null","null","0","13","null","null","29","null","35","null","27","38","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","1274","243","null","null","8","null","12","null","0","19","null","null","102","null","128","null","38","null","41","null","16","19","null","null","17","null","19","null","12","14","null","null","28","23","null","null","53","61","null","null","70","null","41","null","103","51","null","null","243","89","null","null","243","null","159","null","103","null","64","null","146","null","61","null","92","null","74","null",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","938","151","null","null","60","null","58","null","54","90","null","null","71","null","69","null","0","null","13","null","30","28","null","null","17","null","16","null","66","54","null","null","38","26","null","null","94","68","null","null","48","null","29","null","121","68","null","null","100","52","null","null","108","null","70","null","41","null","34","null","49","null","66","null","41","null","46","null",
"1400000US04005000601","Census Tract 6.01, Coconino County, Arizona","817","243","null","null","18","null","29","null","24","40","null","null","18","null","29","null","127","null","197","null","13","19","null","null","16","null","26","null","15","25","null","null","78","73","null","null","0","13","null","null","41","null","40","null","43","42","null","null","124","99","null","null","41","null","33","null","91","null","53","null","106","null","76","null","62","null","52","null",
"1400000US04005000602","Census Tract 6.02, Coconino County, Arizona","1030","236","null","null","12","null","21","null","47","47","null","null","0","null","13","null","228","null","196","null","31","51","null","null","12","null","21","null","22","27","null","null","14","22","null","null","0","13","null","null","95","null","66","null","169","122","null","null","189","107","null","null","77","null","62","null","24","null","29","null","12","null","20","null","98","null","76","null",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","1052","157","null","null","40","null","30","null","12","20","null","null","7","null","11","null","0","null","13","null","36","29","null","null","18","null","25","null","74","45","null","null","43","48","null","null","9","14","null","null","71","null","49","null","211","102","null","null","171","81","null","null","206","null","88","null","33","null","31","null","63","null","33","null","58","null","34","null",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","1356","275","null","null","122","null","70","null","117","62","null","null","110","null","62","null","76","null","67","null","65","62","null","null","51","null","45","null","122","90","null","null","40","47","null","null","11","17","null","null","77","null","50","null","184","102","null","null","184","184","null","null","53","null","47","null","35","null","39","null","56","null","56","null","53","null","28","null",
